Puntuaje,Tipo de Pago,Título comentario,Cuerpo comentario,Cuotas de pago,Valor del pago,Categoría producto,Peso producto (g),Largo producto (cm),Ancho producto (cm),Alto producto (cm),Ciudad cliente,Estado orden,Precio envío,ID vendedor,Secuencia de pago,Tiempo compra pedido,Fecha de cargo,Fecha de entrega prevista,Fecha estimada de entrega,Creación comentario,Lapso tiempo respuesta,Ciudad vendedor,Estado vendedor,Estado cliente,Fecha límite de envío
3,credit_card,Faltou produto,Faltou o protetor de colchao,1,198.11,housewares,400.0,25.0,36.0,10.0,sao paulo,delivered,12.19,00720abe85ba0859807595bbf045a33b,1,2018-06-04 15:29:14,2018-06-05 13:41:00,2018-06-06 21:38:43,2018-07-05 00:00:00,2018-06-07 00:00:00,2018-06-08 16:55:25,guarulhos,SP,SP,2018-06-12 15:51:50
5,credit_card,Ótima,Produto excelente fiquei muito satisfeito.,1,67.05,telephony,350.0,17.0,13.0,4.0,salvador,delivered,17.06,ea8482cd71df3c1969d7b9473ff13abc,1,2018-04-12 14:05:08,2018-04-13 23:12:37,2018-05-09 15:08:44,2018-05-09 00:00:00,2018-05-10 00:00:00,2018-05-10 22:11:58,sao paulo,SP,BA,2018-04-19 12:55:48
5,credit_card,,Eu recomendo,1,154.77,home_appliances,4000.0,27.0,17.0,13.0,pitangueiras,delivered,17.87,d91fb3b7d041e83b64a00a3edfb37e4f,1,2018-04-16 18:47:03,2018-04-19 21:32:07,2018-04-23 21:04:32,2018-05-03 00:00:00,2018-04-24 00:00:00,2018-04-25 01:17:39,praia grande,SP,SP,2018-04-20 19:31:38
5,boleto,Ótimo,"Ótimo atendimento.
Entrega no prazo.
Produto otimo",1,76.74,fashion_bags_accessories,350.0,16.0,20.0,2.0,sao paulo,delivered,7.74,6560211a19b47992c3666cc44a7e94c0,1,2018-07-22 14:04:41,2018-07-25 12:57:00,2018-07-28 16:39:30,2018-07-31 00:00:00,2018-07-29 00:00:00,2018-08-04 12:23:36,sao paulo,SP,SP,2018-07-26 06:10:19
4,credit_card,Muito Bom,"Produto de qualidade.
Entrega 7dias antes do prazo.
Tablet muito rápido.
Parabéns a toda a equipe.",1,180.32,telephony,700.0,32.0,21.0,15.0,salvador,delivered,10.32,53243585a1d6dc2643021fd1853d8905,1,2018-07-29 08:36:22,2018-08-02 17:48:00,2018-08-07 16:38:51,2018-08-13 00:00:00,2018-08-08 00:00:00,2018-08-08 20:55:29,lauro de freitas,BA,BA,2018-08-02 08:50:08
5,credit_card,Recomendo,"Excelente produto, entrega antes do prazo",1,68.88,toys,800.0,20.0,20.0,35.0,sao roque,delivered,8.88,8f119a0aee85c0c8fc534629734e94fd,1,2018-05-21 10:14:31,2018-05-22 06:53:00,2018-05-25 17:45:44,2018-06-05 00:00:00,2018-05-26 00:00:00,2018-05-26 15:18:59,barueri,SP,SP,2018-05-28 13:00:57
1,credit_card,,Cadê meu produto ... pra querer saber minha opinião tenho que receber primeiro não é mesmo ,10,187.43,bed_bath_table,800.0,16.0,28.0,20.0,sao paulo,delivered,23.77,1835b56ce799e6a4dc4eddc053f04066,1,2017-11-28 01:16:27,2017-11-29 18:54:49,2017-12-02 18:04:15,2017-12-18 00:00:00,2017-12-03 00:00:00,2017-12-05 21:23:17,ibitinga,SP,SP,2017-12-04 01:31:28
5,credit_card,,Produto bem bacana!!!! Acabamento perfeito!!!,3,84.2,toys,1800.0,38.0,35.0,12.0,nova friburgo,delivered,17.21,1554a68530182680ad5c8b042c3ab563,1,2017-04-04 21:53:37,2017-04-06 07:46:16,2017-04-18 13:37:46,2017-05-09 00:00:00,2017-04-19 00:00:00,2017-04-20 10:10:02,monte siao,MG,RJ,2017-04-23 22:02:38
5,boleto,,"gostei do produto sim.
obrigado",1,46.39,telephony,200.0,19.0,11.0,3.0,aracaju,delivered,20.4,ef506c96320abeedfb894c34db06f478,1,2017-03-21 19:03:48,2017-03-30 16:25:25,2017-04-10 14:49:44,2017-04-20 00:00:00,2017-04-11 00:00:00,2017-04-12 03:29:42,sao paulo,SP,SE,2017-03-30 23:32:42
5,credit_card,Recebi ,Chegou em tempo,1,64.1,housewares,130.0,17.0,16.0,16.0,sao paulo,delivered,7.43,1cbd32d00d01bb8087a5eb088612fd9c,1,2018-08-19 12:31:08,2018-08-24 14:13:00,2018-08-27 23:58:55,2018-08-28 00:00:00,2018-08-28 00:00:00,2018-09-03 01:18:17,sp / sp,SP,SP,2018-08-27 11:35:21
3,boleto,"Nao funcionou, parece que","Nao funcionou, parece queimado",1,35.96,home_appliances,100.0,16.0,13.0,3.0,salvador,delivered,17.06,080102cd0a76b09e0dcf55fcacc60e05,1,2018-06-09 22:27:14,2018-06-12 17:05:00,2018-07-03 19:44:31,2018-07-04 00:00:00,2018-07-04 00:00:00,2018-07-07 11:32:33,belo horizonte,MG,BA,2018-06-14 07:57:13
5,credit_card,,recomendo essa loja para compras produto chegou em perfeitas condições e foi entregue rapidamente ,8,1351.51,computers,2600.0,16.0,39.0,31.0,barao ataliba nogueira,delivered,51.51,53243585a1d6dc2643021fd1853d8905,1,2017-09-01 14:00:39,2017-09-04 20:51:53,2017-09-15 18:53:49,2017-09-25 00:00:00,2017-09-15 00:00:00,2017-09-16 17:16:53,lauro de freitas,BA,SP,2017-09-08 14:15:19
5,credit_card,,"É muito frágil, poderia ter uma qualidade melhor , não valeu a pena pôs o valor com o Freti eu compraria coisa de melhor qualidade , pagamos o frete para não entregar em nossa casa .",6,68.18,bed_bath_table,350.0,25.0,19.0,9.0,rio de janeiro,delivered,18.23,391fc6631aebcf3004804e51b40bcf1e,1,2018-03-10 10:45:39,2018-03-14 12:28:51,2018-04-20 20:22:09,2018-04-18 00:00:00,2018-04-20 00:00:00,2018-04-22 11:04:31,ibitinga,SP,RJ,2018-03-20 11:08:16
3,boleto,,"Boa mochila mas achei só um pouco pequena, mas muito bonita.",1,98.79,stationery,5850.0,60.0,29.0,20.0,salvador,delivered,19.79,3d871de0142ce09b7081e2b9d1733cb1,1,2017-12-18 20:42:39,2017-12-21 16:07:58,2018-01-15 18:21:47,2018-01-19 00:00:00,2018-01-16 00:00:00,2018-01-16 20:42:07,campo limpo paulista,SP,BA,2017-12-27 06:57:45
1,boleto,,Produto ainda não chegou,1,42.78,telephony,150.0,18.0,16.0,4.0,luis eduardo magalhaes,delivered,16.79,ef506c96320abeedfb894c34db06f478,1,2017-05-21 22:38:54,2017-05-26 16:03:57,2017-07-06 09:47:41,2017-06-22 00:00:00,2017-06-25 00:00:00,2017-06-27 14:43:54,sao paulo,SP,BA,2017-05-29 04:22:29
5,credit_card,,Boa empresa!,2,212.5,sports_leisure,1100.0,40.0,40.0,2.0,itapecerica da serra,delivered,12.6,2a7dc43cecabf23403078e2188437d1d,1,2017-11-27 00:27:50,2017-11-29 23:09:28,2017-12-02 01:12:46,2017-12-11 00:00:00,2017-12-03 00:00:00,2017-12-05 09:16:48,sao paulo,SP,SP,2017-12-01 00:37:25
5,credit_card,Ótimo!,"Ótima capa a película bem melhor que a anterior!
Satisfeito!!!",3,65.44,telephony,350.0,17.0,12.0,4.0,brasilia,delivered,15.45,ea8482cd71df3c1969d7b9473ff13abc,1,2018-06-16 13:37:17,2018-06-18 15:01:00,2018-06-26 19:22:40,2018-07-12 00:00:00,2018-06-27 00:00:00,2018-06-27 22:59:17,sao paulo,SP,DF,2018-06-20 13:59:35
3,boleto,,Entrega feito muito rápido,1,103.75,bed_bath_table,6850.0,59.0,37.0,22.0,feliz,delivered,17.85,1a3df491d1c4f1589fc2b934ada68bf2,1,2017-08-28 10:15:59,2017-08-29 14:36:06,2017-09-04 20:39:08,2017-09-21 00:00:00,2017-09-05 00:00:00,2017-09-06 11:10:17,joinville,SC,RS,2017-09-06 04:30:50
5,credit_card,EXCELENTE!,MANTER O PADRÃO PARA FIGURAR ENTRE AS MELHORES LOJAS.,1,923.55,health_beauty,700.0,30.0,20.0,5.0,belem,delivered,26.55,6e386f64c84e482f0b9abf960797ee1b,1,2018-08-01 18:14:28,2018-08-02 11:08:00,2018-08-09 17:12:40,2018-08-29 00:00:00,2018-08-10 00:00:00,2018-08-11 21:28:35,sao paulo,SP,PA,2018-08-03 18:25:11
1,boleto,,Até hoje nada. Prazo era até dia 26,1,45.31,computers_accessories,1583.0,18.0,12.0,15.0,ipatinga,delivered,15.1,ede0c03645598cdfc63ca8237acbe73d,1,2018-03-01 13:27:02,2018-03-09 03:22:31,2018-03-28 18:56:49,2018-03-22 00:00:00,2018-03-28 00:00:00,2018-03-28 09:11:58,ribeirao preto,SP,MG,2018-03-08 03:00:21
4,credit_card,,"Entregue antes do prazo prometido, preço bom.
Agora é utilizar o produto.",8,808.88,health_beauty,250.0,23.0,15.0,7.0,belo horizonte,delivered,18.22,916c9de0b5ad957346eeeb12f332687e,1,2018-07-03 09:51:36,2018-07-03 14:59:00,2018-07-06 18:52:44,2018-07-31 00:00:00,2018-07-07 00:00:00,2018-07-07 23:06:52,curitiba,PR,MG,2018-07-09 10:30:41
5,credit_card,,"Produto de qualidade 
",4,136.51,consoles_games,350.0,16.0,16.0,13.0,aracati,delivered,34.51,44073f8b7e41514de3b7815dd0237f4f,1,2017-08-03 11:40:08,2017-08-29 09:13:53,2017-08-29 09:13:53,2017-09-04 00:00:00,2017-08-30 00:00:00,2017-11-25 18:28:11,brasilia,DF,CE,2017-08-10 11:45:18
5,credit_card,,"
",10,1478.45,small_appliances,13700.0,40.0,40.0,30.0,gravatai,delivered,29.45,b32be1695eb7ec5f10f72d9610a12527,1,2018-03-07 18:11:54,2018-03-09 23:40:54,2018-03-10 14:50:49,2018-03-20 00:00:00,2018-03-11 00:00:00,2018-03-11 18:30:49,caxias do sul,RS,RS,2018-03-13 18:30:04
1,boleto,,Comprei 2 unidades é só chegou uma,1,163.78,sports_leisure,1032.0,17.0,16.0,15.0,rio de janeiro,delivered,16.89,669ae81880e08f269a64487cfb287169,1,2017-07-24 13:40:58,2017-07-25 22:21:40,2017-08-03 19:11:21,2017-08-18 00:00:00,2017-08-11 00:00:00,2017-08-12 03:34:40,rio do sul,SC,RJ,2017-08-01 06:43:03
5,boleto,,Só nao entendi porque a caixa veio aberta. Mais fora isso tá perfeito veio tudo certinho.,1,60.31,health_beauty,750.0,20.0,23.0,18.0,porto alegre,delivered,15.41,c70a353f02429c00775a46a75fb787da,1,2018-07-17 18:27:15,2018-07-20 13:20:00,2018-07-28 00:58:37,2018-08-07 00:00:00,2018-07-28 00:00:00,2018-07-30 16:20:50,sao paulo,SP,RS,2018-07-25 02:42:34
5,credit_card,muito boa,"agradeço pelo serviço prestado,o produto chegou antes do previsto.parabéns",1,87.57,sports_leisure,600.0,28.0,18.0,10.0,caxambu,delivered,19.67,bb2afe2061d53c6968aa0cffa233a8ec,1,2018-07-21 23:56:29,2018-07-23 12:42:00,2018-07-27 21:17:46,2018-08-09 00:00:00,2018-07-28 00:00:00,2018-07-29 02:45:56,sao paulo,SP,MG,2018-07-26 00:10:09
5,boleto,Muito bom ,"Boa loja 
Produto entregue dentro do prazo em perfeito estado, recomendo a todos.",1,57.5,watches_gifts,400.0,16.0,20.0,2.0,barueri,delivered,8.5,6560211a19b47992c3666cc44a7e94c0,1,2018-08-05 22:06:45,2018-08-08 00:17:00,2018-08-08 20:57:51,2018-08-09 00:00:00,2018-08-09 00:00:00,2018-08-10 00:45:06,sao paulo,SP,SP,2018-08-09 04:15:30
4,credit_card,,"Entregue antes do prazo prometido, preço bom.
Agora é utilizar o produto.",8,808.88,health_beauty,250.0,23.0,15.0,7.0,belo horizonte,delivered,18.22,916c9de0b5ad957346eeeb12f332687e,1,2018-07-03 09:51:36,2018-07-03 14:59:00,2018-07-06 18:52:44,2018-07-31 00:00:00,2018-07-07 00:00:00,2018-07-07 23:06:52,curitiba,PR,MG,2018-07-09 10:30:41
5,credit_card,,Ok,8,154.4,bed_bath_table,300.0,45.0,35.0,15.0,uberaba,delivered,15.1,4a3ca9315b744ce9f8e9374361493884,1,2017-09-06 15:31:17,2017-09-09 13:22:35,2017-09-14 22:35:52,2017-09-27 00:00:00,2017-09-15 00:00:00,2017-09-16 13:48:16,ibitinga,SP,MG,2017-09-13 15:43:32
4,credit_card,,"Depender dos correios hoje em dia coloca a satisfação do cliente com o fornecedor em risco, pois os correios, não são precisos em seus serviços. ",2,116.0,health_beauty,383.0,17.0,15.0,13.0,sao jose,delivered,14.52,cbd996ad3c1b7dc71fd0e5f5df9087e2,1,2017-03-31 13:14:16,2017-03-31 19:33:03,2017-05-17 17:14:59,2017-04-27 00:00:00,2017-04-29 00:00:00,2017-04-29 17:01:37,sao jose do rio preto,SP,SC,2017-04-10 13:25:11
2,credit_card,,o pedido foi cancelado conforme email de vcs em 08 de maio,2,144.3,housewares,400.0,16.0,12.0,12.0,santana de parnaiba,canceled,10.96,4e8dacf3d38f281ae26c3e0321d92d88,1,2017-04-26 22:38:50,,,2017-05-29 00:00:00,2017-06-01 00:00:00,2017-06-12 15:36:16,sao paulo,SP,SP,2017-05-09 01:15:17
3,credit_card,,"Bom dia o problema não é a loja e sim os correios 
se vcs mandasse por transportador não teria tanto trastorno gastei o dia todo pra buscar a minha encomenda.A mercadoria já estava retornando ",1,106.06,fashion_bags_accessories,100.0,17.0,19.0,2.0,vila velha,delivered,17.06,d2e753bb80b7d4faa77483ed00edc8ca,1,2018-02-22 19:14:40,2018-02-28 21:45:02,2018-03-16 20:08:26,2018-03-22 00:00:00,2018-03-17 00:00:00,2018-03-19 13:00:34,porto seguro,BA,ES,2018-02-28 19:30:39
5,credit_card,Excelente!,Excelente!,1,169.73,housewares,11500.0,20.0,28.0,50.0,sao paulo,delivered,11.73,99a54764c341d5dc80b4a8fac4eba3fb,1,2018-05-04 18:44:15,2018-05-07 17:14:00,2018-05-08 20:12:09,2018-05-17 00:00:00,2018-05-09 00:00:00,2018-05-10 00:17:24,sao paulo,SP,SP,2018-05-10 19:10:01
5,credit_card,,"Sou cliente faz tempo , e se depender de mim não vou deixar de ser nunca 
Muito bom",1,93.36,auto,2200.0,22.0,22.0,4.0,praia grande,delivered,23.36,9c068d10aca38e85c50202e17b4a7e88,1,2017-11-02 14:14:52,2017-11-06 22:22:39,2017-11-10 21:48:26,2017-11-29 00:00:00,2017-11-11 00:00:00,2017-11-14 11:09:13,coxim,MS,SP,2017-11-08 14:25:42
3,credit_card,,COMPREI DUAS PULSERAS E CHEGOU APENAS UM,1,2.18,fashion_bags_accessories,200.0,16.0,11.0,2.0,palmas,delivered,25.63,e5a3438891c0bfdb9394643f95273d8e,1,2017-09-14 20:22:56,2017-09-19 17:32:33,2017-09-30 13:55:04,2017-10-05 00:00:00,2017-10-01 00:00:00,2017-10-02 15:37:35,limeira,SP,TO,2017-09-21 20:15:11
4,credit_card,Entrega no prazo,"Meu pedido foi entregue bem antes do prazo, obrigado, super recomendo.",1,45.53,watches_gifts,300.0,16.0,11.0,2.0,campinas,delivered,7.53,6560211a19b47992c3666cc44a7e94c0,1,2018-08-24 13:27:17,2018-08-27 18:33:00,2018-08-28 16:32:05,2018-08-31 00:00:00,2018-08-29 00:00:00,2018-08-31 20:46:10,sao paulo,SP,SP,2018-08-28 13:44:42
5,credit_card,,Ótimo produto de qualidade e u recomendo,2,64.79,fashion_bags_accessories,250.0,16.0,11.0,2.0,salvador,delivered,15.79,6560211a19b47992c3666cc44a7e94c0,1,2017-12-31 17:42:13,2018-01-02 16:29:14,2018-01-13 19:51:39,2018-01-30 00:00:00,2018-01-14 00:00:00,2018-01-15 00:07:42,sao paulo,SP,BA,2018-01-05 17:53:38
3,credit_card,,"Eu sempre compro nas lojas lannister e um produto nunca demorou tanto pra chegar , mas devido o fato de ser vendido e entregue por outra loja , acredito que seja por isso a demora .",2,115.15,sports_leisure,400.0,22.0,12.0,18.0,presidente prudente,delivered,15.45,55a5b51f93f2b70ea513f5a047b0262a,1,2017-06-07 23:32:10,2017-06-08 14:19:40,2017-06-27 18:27:41,2017-06-30 00:00:00,2017-06-28 00:00:00,2017-06-29 10:26:51,sao joao del rei,MG,SP,2017-06-13 23:45:15
5,credit_card,,foi minha primeira compra nas lannister fiquei bem satisfeito aguardo as promoçoes ,3,158.13,auto,925.0,65.0,30.0,8.0,sao joaquim,delivered,18.23,7142540dd4c91e2237acb7e911c4eba2,1,2017-12-02 01:14:27,2017-12-06 23:32:33,2017-12-29 20:52:12,2018-01-04 00:00:00,2017-12-30 00:00:00,2017-12-31 21:22:05,penapolis,SP,SC,2017-12-08 01:15:31
5,boleto,nota mil...,Muito bom....,1,62.92,food_drink,1200.0,16.0,13.0,23.0,malacacheta,delivered,22.93,5011f0d93373a4c5753adf58ca77af8d,1,2018-05-13 18:32:08,2018-05-17 15:23:00,2018-06-04 23:27:24,2018-06-05 00:00:00,2018-06-05 00:00:00,2018-06-09 12:35:04,santos,SP,MG,2018-05-21 03:35:11
5,boleto,,recebi bem antes do prazo. Tudo como esperava.,1,573.78,pet_shop,4600.0,46.0,28.0,27.0,itabira,delivered,43.78,a5cba26a62b8b4d0145b68b841e62e7f,1,2018-03-26 09:33:35,2018-03-29 16:25:34,2018-04-14 16:59:39,2018-04-30 00:00:00,2018-04-15 00:00:00,2018-04-15 23:18:14,campo mourao,PR,MG,2018-04-09 04:08:34
4,credit_card,,Recebi o produto de acordo com o que foi solicitado e foi entregue muito antes do prazo,1,27.62,telephony,50.0,16.0,11.0,3.0,sao paulo,delivered,8.72,2138ccb85b11a4ec1e37afbd1c8eda1f,1,2017-04-08 17:17:30,2017-04-10 13:17:43,2017-04-12 07:27:36,2017-05-02 00:00:00,2017-04-13 00:00:00,2017-04-17 11:45:44,sao paulo,SP,SP,2017-04-13 17:30:18
5,credit_card,,"produto lindo ,de excelente qualidade",3,195.0,baby,4950.0,40.0,40.0,10.0,sao paulo,delivered,20.1,1f9ab4708f3056ede07124aad39a2554,1,2017-08-16 14:50:09,2017-08-25 18:45:51,2017-08-29 19:42:23,2017-09-05 00:00:00,2017-08-30 00:00:00,2017-09-01 11:47:13,tupa,SP,SP,2017-08-22 15:50:16
5,credit_card,5 estrela,Elogiável,1,55.96,small_appliances_home_oven_and_coffee,400.0,20.0,11.0,11.0,sao paulo,delivered,12.96,88cf19ec1fc2c58f161aee259d57142c,1,2018-08-14 16:06:30,2018-08-16 13:57:00,2018-08-20 21:47:47,2018-09-11 00:00:00,2018-08-21 00:00:00,2018-08-22 11:01:31,sao carlos,SP,SP,2018-08-16 16:31:10
4,credit_card, recomendo,Bonitinho!,2,36.46,watches_gifts,250.0,16.0,11.0,2.0,sao bernardo do campo,delivered,7.46,6560211a19b47992c3666cc44a7e94c0,1,2018-08-08 18:25:49,2018-08-09 13:32:00,2018-08-10 22:09:22,2018-08-13 00:00:00,2018-08-11 00:00:00,2018-08-14 19:54:08,sao paulo,SP,SP,2018-08-10 18:35:15
1,credit_card,,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",2,217.96,cool_stuff,2238.0,38.0,29.0,31.0,porto alegre,delivered,17.97,46dc3b2cc0980fb8ec44634e21d2718e,1,2017-11-11 00:45:49,2017-11-27 16:48:46,2017-12-11 20:38:51,2017-12-05 00:00:00,2017-12-07 00:00:00,2017-12-11 23:48:29,rio de janeiro,RJ,RS,2017-11-20 00:56:06
4,credit_card,,"Gostei do tapete. É muito bonito, porém achei o pelo baixo.",10,295.72,home_confort,3500.0,40.0,40.0,20.0,buritizeiro,delivered,26.72,2528513dd95219a6013d4d05176e391a,1,2017-06-25 15:28:35,2017-06-29 16:42:12,2017-07-07 17:07:54,2017-07-25 00:00:00,2017-07-08 00:00:00,2017-07-09 11:42:33,osasco,SP,MG,2017-06-29 15:42:49
2,credit_card,," PRODUTO INCORRETO ALEM DE VIM TROCADO VEIO DE VALOR MENOR, COMPREI UM KIT ANNY CASAL 5 PEÇAS COM FRONHAS EM FORMA DE CORAÇÃO NA COR/CÁQUI..
E VEIO UMA COLCHA CASAL ANNE 5 PEÇAS BORDADA. ",5,291.5,bed_bath_table,3400.0,45.0,35.0,15.0,barra de santa rosa,delivered,37.1,4a3ca9315b744ce9f8e9374361493884,1,2018-02-08 10:45:46,2018-02-09 23:19:02,2018-02-27 00:42:34,2018-03-22 00:00:00,2018-02-28 00:00:00,2018-02-28 11:26:23,ibitinga,SP,PB,2018-02-14 11:10:51
1,credit_card,,comprei dois produtos há mais de um mês e não recebi nenhum,1,170.71,garden_tools,5950.0,20.0,20.0,20.0,goiania,canceled,50.71,a1043bafd471dff536d0c462352beb48,1,2018-01-28 21:31:07,2018-01-29 19:12:01,,2018-02-26 00:00:00,2018-02-28 00:00:00,2018-03-01 02:21:41,ilicinea,MG,GO,2018-02-01 21:39:24
5,boleto,Ótimo,"Bem satisfeita,obrigada...",1,46.3,computers_accessories,300.0,18.0,14.0,12.0,rio de janeiro,delivered,18.3,9646c3513289980f17226a2fc4720dbd,1,2018-06-15 10:28:15,2018-06-20 11:59:00,2018-06-26 18:34:52,2018-07-26 00:00:00,2018-06-27 00:00:00,2018-07-02 04:13:04,sao jose dos campos,SP,RJ,2018-06-22 15:57:00
5,credit_card,,"Tudo ótimo, produto chegou bem antes do previsto. ",3,252.2,furniture_decor,11017.0,40.0,32.0,49.0,florianopolis,delivered,74.2,4e7c18b98d84e05cbae3ff0ff03846c2,1,2017-05-26 13:28:22,2017-05-30 06:37:48,2017-06-12 19:37:31,2017-06-20 00:00:00,2017-06-14 00:00:00,2017-06-14 20:08:08,jaboticabal,SP,SC,2017-06-01 13:42:04
2,credit_card,,"Pedi 2 jogo toalha banhao c nomes e códigos diferentes no site,mas chego dois jogo iguais da mesma marca passione. Não sei se embalaram errado. Vou ficar c os q chegaram até mim. ",8,194.44,bed_bath_table,6400.0,30.0,30.0,30.0,uberlandia,delivered,45.44,c33847515fa6305ce6feb1e818569f13,2,2018-08-01 12:07:12,2018-08-02 13:56:00,2018-08-07 22:21:51,2018-08-24 00:00:00,2018-08-08 00:00:00,2018-08-11 01:43:30,brusque,SC,MG,2018-08-07 13:04:17
1,credit_card,Ruim ,Não recebi,2,63.55,health_beauty,3650.0,23.0,23.0,23.0,sao paulo,delivered,13.65,f46490624488d3ff7ce78613913a7711,1,2018-08-02 12:07:04,2018-08-03 12:53:00,2018-08-06 21:56:35,2018-08-10 00:00:00,2018-08-07 00:00:00,2018-08-08 06:16:14,guarulhos,SP,SP,2018-08-08 13:10:14
1,credit_card,,Aparelho não funciona direito ,4,307.14,telephony,300.0,20.0,30.0,38.0,belem,delivered,27.24,7202e2ba20579a9bd1acb29e61fe71f6,1,2017-08-22 22:46:59,2017-08-24 14:43:53,2017-09-13 15:23:50,2017-09-26 00:00:00,2017-09-14 00:00:00,2017-09-19 01:23:22,franca,SP,PA,2017-08-28 23:06:58
5,credit_card,,"Super macia, adorei recomendo sim ",2,106.16,bed_bath_table,1383.0,50.0,40.0,10.0,santo andre,delivered,16.26,4a3ca9315b744ce9f8e9374361493884,1,2017-10-15 18:44:10,2017-10-17 20:48:42,2017-10-20 22:11:55,2017-11-01 00:00:00,2017-10-21 00:00:00,2017-10-24 20:06:50,ibitinga,SP,SP,2017-10-20 19:09:40
4,credit_card,Superrecomendado,"Recebi exatamente o que comprei, no prazo estabelecido. Obrigada e recomendo ",1,80.9,garden_tools,1850.0,37.0,40.0,22.0,feira de santana,delivered,31.0,1f50f920176fa81dab994f9023523100,1,2018-05-31 17:06:58,2018-06-01 14:35:00,2018-06-29 18:34:50,2018-07-16 00:00:00,2018-06-30 00:00:00,2018-07-03 14:48:32,sao jose do rio preto,SP,BA,2018-06-08 17:31:18
1,credit_card,,Cadeirinha veio errada e ate agora não entraram em contato comigo me dando a solução do meu problema. o produto é para presente ate sábado dia 25/11 e ninguém me da uma solução!,1,436.31,baby,21200.0,75.0,25.0,52.0,belo horizonte,delivered,36.41,05f51e13da97139648b8125c31e5f51b,1,2017-11-17 00:14:28,2017-11-17 22:43:03,2017-11-20 18:21:16,2017-11-30 00:00:00,2017-11-21 00:00:00,2017-11-22 13:07:38,belo horizonte,MG,MG,2017-11-23 00:30:44
5,boleto,,"Entrega rapida, produto em perfeito estado. ",1,44.0,books_general_interest,500.0,21.0,14.0,2.0,sao paulo,delivered,14.1,a9b533a26e898b12e8b8d4c07279bf4d,1,2017-07-31 08:08:14,2017-08-07 18:43:57,2017-08-14 12:36:53,2017-08-22 00:00:00,2017-08-15 00:00:00,2017-08-15 19:41:10,rio de janeiro,RJ,SP,2017-08-07 04:30:45
4,credit_card,,"produto bom porem nao é 100% algodão como descrito.
ao receber o produto na embalagem diz 80% algodão.
mesmo assim o produto é excelente",4,272.2,bed_bath_table,1800.0,30.0,30.0,5.0,jacare,delivered,13.2,8160255418d5aaa7dbdc9f4c64ebda44,1,2018-01-24 20:52:16,2018-01-29 09:47:52,2018-02-02 22:51:49,2018-02-16 00:00:00,2018-02-03 00:00:00,2018-02-04 09:42:20,ibitinga,SP,SP,2018-01-30 21:18:10
5,credit_card,,"Ótima estão de parabéns.Obrigada a tds. Muito eficiente, parabéns.",1,32.68,health_beauty,150.0,16.0,17.0,5.0,sao paulo,delivered,7.78,42b729f859728f5079499127a9c2ef37,1,2018-02-25 16:08:52,2018-02-26 18:26:46,2018-02-27 18:00:09,2018-03-12 00:00:00,2018-02-28 00:00:00,2018-02-28 23:35:19,sao paulo,SP,SP,2018-03-01 16:15:38
1,credit_card,,Os produtos que me mandaram foram replicas do que eu solicitei. Produtos de péssima qualidade!!!,3,187.59,toys,1700.0,30.0,25.0,35.0,aracaju,delivered,38.59,4c03b9dd4c11ee2cb35c96c49efc9420,1,2017-06-07 09:59:42,2017-06-07 15:03:27,2017-06-28 12:18:18,2017-07-11 00:00:00,2017-06-29 00:00:00,2017-06-30 13:43:20,campo limpo paulista,SP,SE,2017-06-14 10:10:12
4,boleto,,"Produto chegou certo, bem embalado e no prazo. Vendedor recomendado",1,32.29,health_beauty,150.0,16.0,17.0,5.0,campinas,delivered,7.39,42b729f859728f5079499127a9c2ef37,1,2018-03-29 11:28:31,2018-04-04 19:58:46,2018-04-05 20:48:28,2018-04-11 00:00:00,2018-04-06 00:00:00,2018-04-09 01:16:41,sao paulo,SP,SP,2018-04-05 03:10:18
5,credit_card,,Recebi na data certa. Tudo ok!,6,370.6,market_place,5500.0,21.0,35.0,40.0,jardim,delivered,47.85,45213867cefbf2cd4c6177e10216a951,1,2017-05-14 20:34:04,2017-05-16 08:48:06,2017-05-26 16:08:40,2017-06-14 00:00:00,2017-05-27 00:00:00,2017-05-30 01:05:25,araras,SP,CE,2017-05-18 20:45:09
5,credit_card,,Chegou tudo certinho. Amei.,7,70.09,perfumery,650.0,20.0,20.0,8.0,campo ere,delivered,16.11,0c7533c71df861ec58ad7ff999ed0e8d,1,2018-02-14 19:01:46,2018-02-16 19:12:09,2018-02-21 23:29:06,2018-03-13 00:00:00,2018-02-22 00:00:00,2018-02-23 13:25:05,valinhos,SP,SC,2018-02-21 05:30:26
3,credit_card,gerou duvida,"A entrega veio dividida, sendo a primeira com nf do total, gerando dúvida, nos casos de dividir a entrega o ideal é avisar ao cliente",8,297.42,housewares,1600.0,20.0,20.0,60.0,itaborai,delivered,18.71,955fee9216a65b617aa5c0531780ce60,1,2018-06-19 10:12:29,2018-06-19 13:28:00,2018-06-25 20:46:22,2018-07-17 00:00:00,2018-06-26 00:00:00,2018-06-29 11:03:26,sao paulo,SP,RJ,2018-06-21 10:31:42
